0,6
0,5
1,2
1,5
1,8
1,9
2,3
2,8
3,11
3,4
4,10
4,13
5,6
5,9
5,12
6,7
6,12
6,14
7,14
7,15
8,9
8,11
8,17
9,18
10,13
10,16
10,20
11,13
11,17
11,21
12,14
12,18
12,23
13,20
13,21
14,15
14,23
14,24
15,26
16,27
16,28
17,21
17,25
17,31
18,23
18,25
18,30
19,27
19,33
20,28
20,29
21,29
21,37
22,32
22,36
23,24
23,35
24,26
24,35
25,30
25,31
25,38
26,32
26,41
27,28
27,33
27,40
28,34
28,39
29,37
29,34
30,43
31,37
31,45
32,36
32,41
33,40
33,44
34,39
34,46
34,49
35,42
35,43
35,48
36,47
36,50
37,45
37,53
37,46
38,43
38,45
38,52
39,40
39,51
39,49
40,55
41,42
41,54
41,47
42,54
42,48
43,52
43,57
44,55
44,58
45,53
45,59
46,53
46,49
46,61
47,50
47,64
48,62
48,57
49,51
49,63
50,56
51,66
52,57
52,59
52,68
53,59
53,67
53,61
54,60
54,69
55,66
55,70
56,65
56,71
57,62
57,68
57,73
58,70
58,72
59,67
59,76
60,64
60,75
61,77
61,74
62,69
62,73
63,74
63,79
63,66
64,65
64,78
64,75
65,71
65,81
66,79
66,80
67,77
68,73
68,82
68,76
69,75
69,86
70,80
70,85
71,81
72,85
73,83
73,88
73,82
74,77
74,79
74,89
75,87
75,86
76,84
76,90
77,84
77,92
77,89
78,81
78,91
78,87
79,95
79,94
79,80
80,94
80,93
81,91
81,98
82,90
83,86
83,88
83,97
84,92
85,93
85,96
86,99
86,97
87,99
87,102
88,101
88,100
89,92
89,104
89,95
90,100
90,105
91,98
91,102
92,106
92,89
93,94
93,103
94,107
95,104
95,107
96,103
96,109
97,101
97,108
98,113
98,111
99,116
99,108
100,115
100,105
101,112
101,115
102,111
102,116
103,110
103,109
103,119
104,118
104,120
105,117
105,114
106,114
106,122
106,118
107,120
107,123
107,110
108,116
108,126
108,112
109,119
109,125
110,119
111,113
111,124
111,121
112,128
112,115
114,127
114,122
115,128
115,130
115,117
116,121
116,131
116,126
117,130
117,127
118,122
118,133
118,120
119,129
119,134
120,133
120,137
120,123
121,136
121,131
122,132
122,135
123,137
123,138
123,129
124,139
124,136
125,134
126,140
127,141
127,132
128,140
128,143
129,138
129,142
129,134
130,143
130,145
131,147
131,144
132,141
132,148
132,135
133,135
133,146
133,149
134,142
134,150
135,148
135,146
136,139
136,152
136,147
137,149
137,151
137,138
138,151
138,142
140,154
140,143
140,144
141,145
141,157
141,148
142,153
142,150
143,156
143,158
143,145
144,155
144,154
145,160
146,161
147,152
147,155
148,157
148,162
149,161
149,163
149,151
150,159
151,153
151,163
153,159
153,164
154,155
154,166
154,156
155,165
155,168
156,166
156,172
156,158
157,174
157,173
158,169
158,160
159,167
160,174
161,171
161,170
161,162
162,173
163,170
163,164
163,175
164,175
164,167
165,168
166,177
166,183
166,172
167,176
168,177
169,172
169,181
169,174
170,178
170,179
171,173
171,178
172,184
173,174
173,180
173,182
174,181
174,180
175,179
175,176
176,185
177,183
178,179
178,182
178,187
179,189
179,185
180,186
180,188
181,191
181,186
181,184
182,188
182,187
183,190
183,184
184,190
184,191
185,189
186,193
186,192
186,188
187,189
188,192
191,193
192,193

